,price,Number of Gears,Assembled,Engine CC,Direct Injection,Aspiration,Wheel Base (mm),Front Thread,Fuel Tank (litres),Rear Brakes,vehicle_age,volume,specific_power,brand_tier
0,228999.0,8,Official Import,1998,Direct Injection,Twin-scroll turbo,2851.0,1589.0,59.0,Ventilated discs,3,12345797205.0,124.61962034487756,A
1,127999.0,7,Parallel Import,1991,Direct Injection,Turbo intercooled,2840.0,1589.0,66.0,Discs,8,12230553720.0,98.78664232792869,A
2,119999.0,9,Official Import,1991,Direct Injection,Turbocharged,2939.0,1589.0,66.0,Ventilated discs,7,13384337328.0,98.1075928767378,A
3,43800.0,5,Official Import,1495,Multi-Point Injected,Aspirated,2650.0,1460.0,43.0,Drums,5,12796357500.0,64.06022982432967,D
4,188000.0,5,Locally Built,2493,Multi-Point Injected,Aspirated,2711.0653876272513,1460.0,43.0,Drums,8,12583359973.558815,102.3642847708361,B
5,30800.0,5,Locally Built,2800,Multi-Point Injected,Aspirated,2711.0653876272513,1460.0,43.0,Drums,18,12583359973.558815,102.3642847708361,D
6,58800.0,5,Locally Built,1997,Multi-Point Injected,Aspirated,2711.0653876272513,1460.0,43.0,Drums,6,12583359973.558815,102.3642847708361,C
7,99800.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2968.0,1600.0,70.0,Ventilated discs,8,13343703240.0,81.2505519738585,A
8,375000.0,8,Locally Built,2998,Direct Injection,Twin-scroll turbo,3070.0,1618.0,78.0,Ventilated discs,3,14285998080.0,105.92200288878189,A
9,399000.0,7,Parallel Import,2987,Direct Injection,Turbo intercooled,2850.0,1618.0,96.0,Ventilated discs,10,16885110660.0,62.609418118156725,A
10,213000.0,6,Parallel Import,3456,Multi-Point Injected,Aspirated,3000.0,1600.0,96.0,Ventilated discs,7,17146540000.0,100.94455259932222,B
11,438000.0,8,Official Import,2894,Direct Injection,Twin Turbo intercooled,2950.0,1671.0,80.0,Ventilated discs,6,13965715764.0,112.45144142302188,S
13,99800.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2968.0,1600.0,70.0,Ventilated discs,8,13343703240.0,81.2505519738585,A
14,48800.0,5,Locally Built,1971,Direct Injection,Turbo intercooled,3110.0,1650.0,70.0,Drums,7,23786688000.0,59.00728913571676,D
15,26000.0,4,Locally Built,998,Multi-Point Injected,Aspirated,2455.0,1410.0,33.0,Drums,5,8904168000.0,60.412224591329064,D
16,76000.0,4,Locally Built,1997,Direct Injection,Aspirated,2860.0,1410.0,60.0,Discs,6,15434646750.0,64.56827106375128,C
17,45800.0,4,Locally Built,4009,Multi-Point Injected,Aspirated,2711.0653876272513,1410.0,60.0,Discs,11,12583359973.558815,68.08219057742483,B
18,69800.0,5,Locally Built,2494,Direct Injection,Turbo intercooled,2570.0,1470.0,70.0,Drums,9,15756889500.0,43.00531242094612,B
19,39888.0,5,Parallel Import,1796,Multi-Point Injected,Supercharged,2854.0,1577.0,65.0,Discs,15,12746230992.0,87.46078524574578,A
20,75800.0,8,Locally Built,1499,Direct Injection,Turbo intercooled,2810.0,1544.0,60.0,Discs,7,11989828727.0,68.80849987351378,A
21,199888.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2864.0,1544.0,65.0,Ventilated discs,4,14921139728.0,109.65580261955529,A
22,185888.0,9,Locally Built,1991,Direct Injection,Turbo intercooled,2873.0,1621.0,66.0,Ventilated discs,6,14422937760.0,90.75659168136264,A
23,72800.0,9,Locally Built,4009,Multi-Point Injected,Aspirated,2711.0653876272513,1621.0,66.0,Ventilated discs,10,12583359973.558815,66.66953417351284,B
24,79718.0,6,Locally Built,1998,Multi-Point Injected,Aspirated,2670.0,1540.0,63.0,Discs,5,14276556000.0,75.93610892903901,B
25,120000.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2933.0,1540.0,85.0,Ventilated discs,6,16684497816.0,79.32139735163662,A
26,23800.0,4,Locally Built,1497,Multi-Point Injected,Aspirated,2550.0,1470.0,42.0,Drums,15,10672600000.0,73.61383129600866,B
27,76000.0,4,Locally Built,1997,Direct Injection,Aspirated,2860.0,1470.0,60.0,Discs,6,15434646750.0,64.56827106375128,C
28,33800.0,6,Locally Built,1995,Multi-Point Injected,Aspirated,2635.0,1470.0,60.0,Discs,10,12792415000.0,78.27992902619768,B
29,23800.0,4,Official Import,1498,Multi-Point Injected,Aspirated,2490.0,1475.0,42.0,Drums,11,9871968150.0,74.05170678399907,B
30,194888.0,4,Parallel Import,2493,Multi-Point Injected,Aspirated,3000.0,1575.0,42.0,Drums,7,17163930000.0,67.57258483700898,B
31,47800.0,6,Parallel Import,1598,Direct Injection,Turbo intercooled,2467.0,1575.0,42.0,Discs,15,8797537644.0,64.9736392663548,A
32,58800.0,6,Locally Built,1799,Multi-Point Injected,Aspirated,2610.0,1535.0,50.0,Discs,8,12212393640.0,85.4414875183729,B
33,49800.0,6,Locally Built,4009,Multi-Point Injected,Aspirated,2711.0653876272513,1535.0,50.0,Discs,13,12583359973.558815,92.61140255487973,B
35,64000.0,6,Official Import,1499,Direct Injection,Turbocharged,2670.0,1561.0,51.0,Discs,8,12395541600.0,76.88828584350972,A
36,199000.0,7,Official Import,1991,Direct Injection,Turbo intercooled,2760.0,1538.0,51.0,Ventilated discs,7,11734182526.0,119.28991406603346,A
37,65800.0,7,Locally Built,1997,Direct Injection,Aspirated,2860.0,1538.0,60.0,Discs,7,15434646750.0,64.56827106375128,C
38,34800.0,7,Locally Built,1597,Multi-Point Injected,Aspirated,2555.0,1538.0,40.0,Drums,6,11739559356.0,69.22832645284218,D
39,59900.0,5,Locally Built,1997,Multi-Point Injected,Aspirated,2775.0,1585.0,65.0,Discs,9,13198917500.0,75.60238025558482,B
40,12800.0,4,Locally Built,1332,Multi-Point Injected,Aspirated,2465.0,1585.0,40.0,Drums,13,10741943520.0,46.336942737293924,D
41,10600.0,5,Locally Built,1332,Multi-Point Injected,Aspirated,2465.0,1446.0,40.0,Drums,12,10924300800.0,69.71044482601741,D
42,25800.0,5,Locally Built,1332,Multi-Point Injected,Aspirated,2555.0,1446.0,40.0,Drums,6,10489872960.0,61.64828033744322,D
43,34800.0,5,Locally Built,3660,Multi-Point Injected,Aspirated,2711.0653876272513,1446.0,40.0,Drums,16,12583359973.558815,100.58403634003894,D
44,81800.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2810.0,1543.0,60.0,Ventilated discs,9,11966537456.0,91.84845005740527,A
45,97800.0,7,Official Import,1595,Direct Injection,Turbo intercooled,2699.0,1553.0,50.0,Discs,8,10947776080.0,83.45369924570694,A
46,49800.0,7,Locally Built,1497,Multi-Point Injected,Aspirated,2600.0,1476.0,40.0,Drums,8,11115606600.0,80.96947450811044,B
47,165800.0,9,Parallel Import,1991,Direct Injection,Turbo intercooled,2840.0,1565.0,66.0,Discs,6,12181571500.0,89.16456677650707,A
48,107800.0,9,Locally Built,1997,Multi-Point Injected,Aspirated,2660.0,1601.0,66.0,Discs,4,14277074280.0,75.6087981146897,B
49,124800.0,9,Locally Built,1997,Multi-Point Injected,Aspirated,2660.0,1601.0,66.0,Discs,2,14398541535.0,75.55908818825007,B
50,146800.0,9,Locally Built,1498,Direct Injection,Turbocharged,2660.0,1601.0,66.0,Discs,1,14398541535.0,92.98247304471829,B
51,69800.0,6,Locally Built,2494,Multi-Point Injected,Aspirated,2775.0,1601.0,70.0,Discs,9,12944268750.0,91.26663977410244,B
52,85800.0,5,Locally Built,1997,Multi-Point Injected,Aspirated,2775.0,1585.0,65.0,Discs,7,13375083750.0,75.60238025558482,B
53,19800.0,4,Locally Built,1794,Multi-Point Injected,Aspirated,2600.0,1480.0,55.0,Discs,17,11431002000.0,85.64771081302348,B
54,72600.0,4,Locally Built,1498,Multi-Point Injected,Aspirated,2600.0,1495.0,55.0,Drums,2,11675330748.0,79.55815635478993,B
55,68800.0,4,Locally Built,1497,Multi-Point Injected,Aspirated,2600.0,1476.0,40.0,Drums,4,11114052796.0,80.5325888542897,B
56,92600.0,4,Locally Built,1498,Direct Injection,Turbocharged,2700.0,1547.0,47.0,Discs,6,11794387920.0,98.25302710193326,B
57,44800.0,5,Locally Built,1998,Multi-Point Injected,Aspirated,2700.0,1500.0,50.0,Discs,14,11175062500.0,87.963225696612,B
58,60888.0,7,Locally Built,1796,Direct Injection,Turbo intercooled,2760.0,1549.0,66.0,Discs,10,11758423290.0,101.1553528040859,A
59,57888.0,7,Locally Built,1496,Multi-Point Injected,Aspirated,2550.0,1475.0,42.0,Discs,5,11058075000.0,71.93760925104209,B
60,63800.0,7,Locally Built,1796,Direct Injection,Turbo intercooled,2760.0,1549.0,66.0,Discs,11,11758423290.0,91.2381613527049,A
61,32800.0,5,Locally Built,1799,Multi-Point Injected,Aspirated,2700.0,1499.0,50.0,Discs,17,11433649500.0,84.25613866153105,B
62,50800.0,5,Locally Built,1789,Multi-Point Injected,Aspirated,2711.0653876272513,1499.0,50.0,Discs,3,12583359973.558815,93.28358208955224,C
63,13800.0,5,Locally Built,1487,Carburettor Single,Aspirated,2150.0,1499.0,55.0,Drums,20,11870428500.0,57.19068210350118,C
64,59000.0,5,Locally Built,1497,Multi-Point Injected,Aspirated,2662.0,1500.0,55.0,Drums,6,12871441030.0,72.74755386350134,B
65,58500.0,5,Locally Built,1997,Multi-Point Injected,Aspirated,2711.0653876272513,1500.0,55.0,Drums,10,12583359973.558815,93.96559040702256,B
66,179800.0,7,Official Import,1332,Direct Injection,Turbo intercooled,2729.0,1567.0,43.0,Drums,5,11428594560.0,88.46675712347353,A
67,117000.0,7,Parallel Import,1986,Multi-Point Injected,Aspirated,2660.0,1560.0,60.0,Discs,8,14637428000.0,69.99165662371372,B
68,62800.0,6,Official Import,2198,Direct Injection,Turbo intercooled,3220.0,1560.0,80.0,Drums,7,18101575800.0,59.40447018638152,B
69,43800.0,4,Locally Built,1496,Multi-Point Injected,Aspirated,2500.0,1475.0,36.0,Drums,5,10238104875.0,76.10462538791192,D
70,116000.0,7,Parallel Import,1986,Multi-Point Injected,Aspirated,2660.0,1570.0,60.0,Discs,7,14486132250.0,70.87205482023843,B
71,86800.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2810.0,1531.0,60.0,Ventilated discs,9,12429076176.0,91.84845005740527,A
72,165800.0,7,Official Import,1595,Direct Injection,Turbo intercooled,2699.0,1531.0,50.0,Discs,6,11781794320.0,81.41112618724559,A
73,39800.0,7,Locally Built,4009,Multi-Point Injected,Aspirated,2711.0653876272513,1531.0,50.0,Discs,12,12583359973.558815,80.88925999373761,B
74,139800.0,7,Locally Built,1991,Direct Injection,Turbocharged,2840.0,1531.0,50.0,Discs,5,12230553720.0,110.11376683018473,A
75,198800.0,7,Official Import,1991,Direct Injection,Turbo intercooled,2840.0,1563.0,50.0,Discs,7,11916732300.0,110.11376683018473,A
76,62000.0,4,Locally Built,1496,Multi-Point Injected,Aspirated,2685.0,1563.0,45.0,Drums,3,13080145500.0,58.10641449242338,D
77,43800.0,5,Official Import,2494,Direct Injection,Turbo intercooled,2750.0,1540.0,65.0,Drums,16,13376055000.0,40.7055630936228,B
78,35999.0,6,Parallel Import,2488,Multi-Point Injected,Aspirated,2825.0,1610.0,82.0,Ventilated discs,14,15461712500.0,76.4251033986693,C
79,57800.0,6,Locally Built,1997,Multi-Point Injected,Aspirated,2775.0,1585.0,65.0,Discs,7,13275231750.0,69.70641298999507,C
80,255000.0,9,Locally Built,2996,Direct Injection,Twin Turbo intercooled,2873.0,1613.0,66.0,Ventilated discs,5,14451287760.0,188.1048056421191,A
81,38500.0,5,Parallel Import,1799,Multi-Point Injected,Aspirated,2740.0,1470.0,66.0,Discs,12,11967801750.0,75.16374959733706,B
82,65800.0,5,Locally Built,2356,Multi-Point Injected,Aspirated,2775.0,1470.0,65.0,Discs,9,13198917500.0,83.44857183729913,B
83,126000.0,7,Parallel Import,2362,Multi-Point Injected,Aspirated,2950.0,1545.0,65.0,Discs,9,15061095000.0,71.27284923696125,B
84,126500.0,6,Locally Built,2488,Direct Injection,Aspirated,2700.0,1545.0,56.0,Discs,3,14064960000.0,90.93977349433735,B
85,165999.0,6,Locally Built,2488,Direct Injection,Aspirated,2930.0,1545.0,72.0,Discs,2,15597680000.0,81.28923043401744,B
86,58800.0,5,Locally Built,2494,Direct Injection,Turbo intercooled,2570.0,1470.0,70.0,Drums,11,15756889500.0,43.00531242094612,B
87,53800.0,6,Official Import,1998,Direct Injection,Aspirated,2700.0,1470.0,51.0,Discs,9,11920595000.0,93.57238574927221,B
88,128000.0,7,Parallel Import,3605,Direct Injection,Aspirated,2920.0,1470.0,80.0,Ventilated discs,11,13608645260.0,122.60127931769722,S
89,99800.0,7,Locally Built,1997,Direct Injection,Aspirated,2860.0,1470.0,60.0,Discs,5,15434646750.0,64.56827106375128,C
90,32800.0,4,Locally Built,1298,Multi-Point Injected,Aspirated,2440.0,1470.0,40.0,Discs,8,9658914750.0,70.74004975124377,D
91,59800.0,4,Locally Built,1497,Multi-Point Injected,Aspirated,2530.0,1492.0,40.0,Drums,8,10210449480.0,82.84203404807599,B
92,135800.0,7,Locally Built,1991,Direct Injection,Turbo intercooled,2840.0,1492.0,66.0,Discs,7,12230553720.0,93.72930568998012,A
93,159800.0,7,Official Import,1991,Direct Injection,Turbo intercooled,2699.0,1569.0,56.0,Ventilated discs,6,11904592392.0,104.62636981206921,A
94,92800.0,7,Locally Built,1498,Direct Injection,Turbocharged,2700.0,1547.0,47.0,Discs,7,11794387920.0,98.25302710193326,B
95,41800.0,4,Locally Built,1495,Multi-Point Injected,Aspirated,2440.0,1547.0,40.0,Discs,6,9632774250.0,78.43435881815412,D
96,37800.0,5,Official Import,1495,Multi-Point Injected,Aspirated,2650.0,1460.0,43.0,Drums,10,14718375000.0,73.11925222372983,D
97,23800.0,4,Locally Built,1598,Multi-Point Injected,Aspirated,2600.0,1470.0,52.0,Drums,11,11944136250.0,68.73527101335428,C
98,106999.0,6,Locally Built,2191,Direct Injection,Twin Turbo intercooled,2700.0,1470.0,58.0,Discs,4,14064960000.0,75.97266720498727,B
99,69800.0,6,Official Import,2995,Direct Injection,Supercharged intercooled,2843.0,1612.0,69.0,Discs,12,13304883620.0,127.63408090437864,A
100,23500.0,6,Official Import,1498,Multi-Point Injected,Aspirated,2489.0,1612.0,43.0,Drums,8,10210078956.0,73.6318407960199,B
101,18800.0,4,Locally Built,1298,Multi-Point Injected,Aspirated,2440.0,1455.0,40.0,Drums,13,9600390000.0,67.98468391029148,D
102,172999.0,4,Official Import,2356,Multi-Point Injected,Aspirated,2900.0,1560.0,55.0,Discs,3,14930916000.0,70.2134488846092,B
103,141800.0,7,Locally Built,1991,Direct Injection,Turbo intercooled,2840.0,1588.0,66.0,Discs,8,12230553720.0,106.39370713997579,A
104,160999.0,7,Locally Built,1991,Direct Injection,Turbo intercooled,2840.0,1588.0,66.0,Discs,7,12230553720.0,106.39370713997579,A
105,142800.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2933.0,1588.0,85.0,Ventilated discs,5,16684497816.0,79.32139735163662,A
106,123999.0,7,Parallel Import,3498,Direct Injection,Aspirated,3165.0,1624.0,70.0,Ventilated discs,9,14903382384.0,117.40781951425392,A
107,25000.0,4,Locally Built,1298,Multi-Point Injected,Aspirated,2440.0,1455.0,40.0,Drums,9,9492248250.0,70.0107708878289,D
108,110000.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2810.0,1544.0,60.0,Ventilated discs,6,11989828727.0,91.2381613527049,A
109,23988.0,4,Locally Built,1298,Multi-Point Injected,Aspirated,2440.0,1455.0,40.0,Drums,10,9492248250.0,70.74004975124377,D
110,109999.0,7,Official Import,1595,Direct Injection,Turbo intercooled,2699.0,1569.0,50.0,Discs,8,11904592392.0,81.12746372666284,A
111,343999.0,9,Locally Built,1991,Direct Injection,Twin-scroll turbo,2939.0,1604.0,66.0,Ventilated discs,2,13343845200.0,119.96094294880737,A
112,79999.0,7,Parallel Import,1796,Direct Injection,Turbo intercooled,2760.0,1538.0,80.0,Ventilated discs,12,11721707316.0,96.65955934612651,A
113,68850.0,7,Locally Built,2497,Multi-Point Injected,Aspirated,2711.0653876272513,1538.0,80.0,Ventilated discs,12,12583359973.558815,73.4423122482824,A
114,52988.0,7,Locally Built,1561,Multi-Point Injected,Turbocharged,2730.0,1538.0,55.0,Discs,3,14102077590.0,71.31577606846314,D
115,47988.0,4,Locally Built,1329,Multi-Point Injected,Aspirated,2455.0,1405.0,36.0,Drums,3,10301985000.0,75.42076849793585,D
116,33800.0,7,Locally Built,1798,Direct Injection,Turbo supercharged intercooled,2712.0,1552.0,70.0,Discs,8,12758982600.0,78.70994401755232,B
117,48999.0,5,Locally Built,1997,Multi-Point Injected,Aspirated,2670.0,1500.0,50.0,Discs,10,11395873125.0,91.08003290633447,B
118,49388.0,4,Locally Built,2494,Direct Injection,Turbo intercooled,3085.0,1540.0,76.0,Drums,14,17453694250.0,40.814693289584255,B
119,65800.0,4,Locally Built,1496,Multi-Point Injected,Aspirated,2685.0,1540.0,45.0,Drums,3,13080145500.0,58.10641449242338,D
120,164999.0,9,Locally Built,1991,Direct Injection,Turbo intercooled,2840.0,1540.0,66.0,Discs,6,12230553720.0,94.74810249095817,A
121,59800.0,4,Locally Built,2982,Direct Injection,Turbo intercooled,3085.0,1540.0,76.0,Drums,10,17952906000.0,62.540766603998,B
122,72800.0,4,Locally Built,1497,Multi-Point Injected,Aspirated,2530.0,1476.0,40.0,Drums,4,11271286488.0,81.48520364510478,B
123,143999.0,7,Locally Built,1991,Direct Injection,Turbo intercooled,2840.0,1476.0,66.0,Discs,8,12230553720.0,143.27814974264257,A
124,220000.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2975.0,1605.0,68.0,Ventilated discs,4,14240794368.0,85.55354070767656,A
125,109999.0,7,Official Import,1991,Direct Injection,Turbo intercooled,2699.0,1553.0,50.0,Discs,9,10947776080.0,108.97071734751846,A
126,167999.0,9,Parallel Import,1991,Direct Injection,Turbo intercooled,2840.0,1565.0,66.0,Discs,6,12181571500.0,89.16456677650707,A
127,142999.0,7,Official Import,1595,Direct Injection,Turbo intercooled,2699.0,1565.0,50.0,Discs,7,11781794320.0,81.41112618724559,A
128,173999.0,7,Official Import,1332,Direct Injection,Turbo intercooled,2729.0,1567.0,43.0,Discs,5,11428594560.0,88.46675712347353,A
129,286999.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2864.0,1620.0,65.0,Ventilated discs,4,14774338656.0,104.76863592899015,A
130,189999.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2864.0,1620.0,65.0,Ventilated discs,5,14921139728.0,109.65580261955529,A
131,47800.0,5,Locally Built,1798,Multi-Point Injected,Aspirated,2670.0,1500.0,50.0,Discs,9,11395873125.0,85.89704538531831,B
132,138000.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2968.0,1600.0,70.0,Ventilated discs,8,13343703240.0,107.55048287971906,A
133,179999.0,9,Locally Built,1497,Direct Injection,Twin-scroll turbo,2840.0,1588.0,66.0,Discs,5,12230553720.0,91.2381613527049,A
134,189999.0,9,Parallel Import,2493,Multi-Point Injected,Aspirated,3000.0,1575.0,66.0,Discs,8,17163930000.0,67.57258483700898,B
135,172999.0,9,Locally Built,1991,Direct Injection,Turbo intercooled,2840.0,1575.0,66.0,Discs,5,12230553720.0,94.74810249095817,A
136,333999.0,7,Parallel Import,1984,Direct Injection,Turbo intercooled,2807.0,1655.0,65.0,Discs,6,14665382592.0,104.76863592899015,S
137,429999.0,9,Official Import,2999,Direct Injection,Twin-scroll turbo,2873.0,1605.0,65.0,Ventilated discs,5,12836194800.0,163.12907822695567,A
138,289999.0,6,Parallel Import,3456,Direct/Multi-point injection,Aspirated,3000.0,1600.0,65.0,Ventilated discs,4,17666066250.0,106.60980810234541,B
139,170999.0,6,Parallel Import,2493,Multi-Point Injected,Aspirated,3000.0,1575.0,65.0,Ventilated discs,8,17163930000.0,68.59641187999397,B
140,51999.0,6,Locally Built,1997,Multi-Point Injected,Aspirated,2711.0653876272513,1575.0,65.0,Ventilated discs,10,12583359973.558815,58.42002110658827,B
141,26800.0,6,Locally Built,1561,Multi-Point Injected,Turbocharged,2730.0,1575.0,55.0,Drums,9,14047015248.0,70.30794881581326,D
142,13800.0,6,Locally Built,989,Multi-Point Injected,Aspirated,2711.0653876272513,1575.0,55.0,Drums,11,12583359973.558815,77.84094333179326,D
143,91800.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2670.0,1561.0,51.0,Ventilated discs,7,13030471428.0,91.84845005740529,A
144,52800.0,7,Locally Built,1497,Multi-Point Injected,Aspirated,2600.0,1476.0,40.0,Drums,8,11115606600.0,80.96947450811044,B
145,33800.0,6,Official Import,2488,Direct Injection,Turbo intercooled,3200.0,1570.0,80.0,Drums,13,17222390000.0,46.708901535488025,C
146,22800.0,6,Locally Built,1997,Multi-Point Injected,Aspirated,2700.0,1480.0,52.0,Drums,12,11799064500.0,80.0433317284545,C
147,17388.0,4,Locally Built,1298,Multi-Point Injected,Aspirated,2440.0,1455.0,40.0,Drums,14,9677812500.0,67.98468391029148,D
148,63000.0,8,Locally Built,1995,Direct Injection,Turbo intercooled,2810.0,1543.0,57.0,Ventilated discs,11,11966537456.0,91.2381613527049,A
149,45800.0,7,Official Import,1496,Multi-Point Injected,Aspirated,2435.0,1515.0,40.0,Discs,10,9891247500.0,66.94104229682154,B
150,338000.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2975.0,1515.0,68.0,Ventilated discs,1,13637042592.0,116.4456355990943,A
151,139000.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2810.0,1544.0,60.0,Ventilated discs,4,11989828727.0,91.2381613527049,A
152,94888.0,8,Locally Built,1498,Direct Injection,Turbocharged,2700.0,1547.0,47.0,Discs,5,11794387920.0,98.10370639205189,B
153,205000.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2851.0,1589.0,59.0,Discs,3,12345797205.0,94.05029646289101,A
154,90000.0,6,Official Import,1496,Direct Injection,Aspirated,2570.0,1589.0,44.0,Discs,2,10300811625.0,78.98463884954788,B
155,328000.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2975.0,1589.0,68.0,Ventilated discs,1,13637042592.0,116.4456355990943,A
156,9800.0,5,Locally Built,1332,Multi-Point Injected,Aspirated,2465.0,1446.0,40.0,Drums,10,10924300800.0,68.83060426025214,D
157,124800.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2670.0,1561.0,51.0,Ventilated discs,5,13030471428.0,91.84845005740529,A
158,308000.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2864.0,1620.0,65.0,Ventilated discs,3,14774338656.0,104.76863592899015,A
159,227800.0,8,Official Import,1998,Direct Injection,Twin-scroll turbo,2851.0,1589.0,59.0,Ventilated discs,4,12345797205.0,124.61962034487756,A
160,218000.0,8,Official Import,1998,Direct Injection,Twin-scroll turbo,2851.0,1589.0,59.0,Ventilated discs,4,12345797205.0,124.61962034487756,A
161,52800.0,8,Locally Built,1997,Multi-Point Injected,Aspirated,2775.0,1585.0,65.0,Discs,7,13275231750.0,69.70641298999507,C
162,24888.0,4,Locally Built,1396,Multi-Point Injected,Aspirated,2570.0,1525.0,43.0,Discs,9,10123017000.0,55.86763982286371,C
163,33800.0,4,Locally Built,1332,Multi-Point Injected,Aspirated,2465.0,1525.0,40.0,Drums,3,10906752969.0,66.56856562259127,D
164,36800.0,4,Locally Built,998,Multi-Point Injected,Aspirated,2455.0,1405.0,33.0,Drums,4,9045156250.0,58.66620653955655,D
165,30800.0,5,Locally Built,1373,Multi-Point Injected,Aspirated,2740.0,1405.0,45.0,Drums,5,12181159875.0,58.43124801524293,D
166,50800.0,5,Locally Built,1997,Direct Injection,Aspirated,2860.0,1405.0,60.0,Discs,9,15434646750.0,64.56827106375128,C
167,72999.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2968.0,1405.0,60.0,Ventilated discs,10,13340172960.0,80.8201488144914,A
168,199000.0,7,Official Import,1991,Direct Injection,Turbo intercooled,2729.0,1567.0,43.0,Ventilated discs,4,11428594560.0,114.88947017489869,A
169,70900.0,7,Locally Built,1995,Direct Injection,Aspirated,2665.0,1567.0,63.0,Ventilated discs,5,12979755000.0,80.60741588226117,B
170,41800.0,5,Official Import,2260,Multi-Point Injected,Aspirated,2950.0,1610.0,68.0,Ventilated discs,11,15149835000.0,68.3380848566158,B
171,73800.0,8,Parallel Import,2979,Direct Injection,Twin Turbo intercooled,2933.0,1610.0,85.0,Ventilated discs,13,16344143790.0,128.29112862653028,A
172,30800.0,4,Locally Built,1396,Multi-Point Injected,Aspirated,2570.0,1520.0,43.0,Discs,8,10135530000.0,45.698473922522226,C
173,196800.0,4,Parallel Import,2493,Multi-Point Injected,Aspirated,3000.0,1575.0,43.0,Discs,6,17163930000.0,67.57258483700898,B
174,131800.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2933.0,1575.0,85.0,Ventilated discs,6,16684497816.0,79.32139735163662,A
175,27000.0,6,Locally Built,1598,Direct Injection,Twin-scroll turbo,2727.0,1532.0,60.0,Discs,9,15721979658.0,53.42053291028588,C
176,136000.0,5,Parallel Import,3386,Multi-Point Injected,Aspirated,2415.0,1486.0,64.0,Ventilated discs,16,10202674005.0,164.2904878592114,S
177,29800.0,4,Locally Built,1998,Multi-Point Injected,Aspirated,2750.0,1510.0,55.0,Drums,14,14149424250.0,64.64492822511644,B
178,29800.0,5,Official Import,1796,Multi-Point Injected,Supercharged,2715.0,1505.0,62.0,Discs,19,11152643328.0,82.46901087781431,A
179,59800.0,5,Locally Built,1497,Multi-Point Injected,Aspirated,2530.0,1492.0,40.0,Drums,4,11271286488.0,82.0827120128049,B
180,9800.0,5,Locally Built,989,Multi-Point Injected,Aspirated,2390.0,1300.0,36.0,Drums,12,8067881250.0,57.26086548390125,D
181,66800.0,7,Parallel Import,2362,Multi-Point Injected,Aspirated,2950.0,1545.0,65.0,Discs,14,15061095000.0,71.27284923696125,B
182,38000.0,6,Official Import,1995,Multi-Point Injected,Aspirated,2760.0,1500.0,63.0,Ventilated discs,13,11464924680.0,81.12746372666284,A
183,343800.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2864.0,1620.0,65.0,Ventilated discs,1,14774338656.0,104.76863592899015,A
184,49800.0,8,Locally Built,1497,Multi-Point Injected,Aspirated,2530.0,1476.0,40.0,Drums,9,10210449480.0,82.30904302019314,B
185,15000.0,4,Locally Built,1597,Multi-Point Injected,Aspirated,2600.0,1475.0,50.0,Drums,10,11105422350.0,69.3186785736589,D
186,48400.0,4,Locally Built,1496,Multi-Point Injected,Aspirated,2500.0,1475.0,36.0,Drums,5,10238104875.0,76.10462538791192,D
187,27800.0,4,Locally Built,998,Multi-Point Injected,Aspirated,2455.0,1410.0,33.0,Drums,8,8904168000.0,59.523809523809526,D
188,48000.0,7,Locally Built,1497,Multi-Point Injected,Aspirated,2600.0,1476.0,40.0,Drums,9,11115606600.0,80.96947450811044,B
189,42800.0,4,Locally Built,1495,Multi-Point Injected,Aspirated,2750.0,1475.0,42.0,Drums,7,11724993000.0,68.32504145936981,D
190,303888.0,8,Official Import,1991,Direct Injection,Twin-scroll turbo,2829.0,1475.0,60.0,Ventilated discs,3,14173702200.0,122.97157186603332,A
191,55800.0,6,Official Import,1999,Multi-Point Injected,Aspirated,2795.0,1475.0,70.0,Discs,8,12965155800.0,66.30820051599835,C
192,238000.0,6,Parallel Import,2693,Multi-Point Injected,Aspirated,2790.0,1585.0,70.0,Discs,5,16825981250.0,57.924662402274336,B
