,price,Number of Gears,Assembled,Engine CC,Direct Injection,Aspiration,Wheel Base (mm),Front Thread,Fuel Tank (litres),Rear Brakes,vehicle_age,volume,specific_power,brand_tier
1870,91800.0,5,Locally Built,1997,Multi-Point Injected,Aspirated,2775.0,1585.0,65.0,Discs,5,13375083750.0,75.60238025558482,B
1871,408000.0,8,Parallel Import,2967,Direct Injection,Turbo intercooled,2995.0,1585.0,75.0,Ventilated discs,5,16959754350.0,99.50248756218905,A
1872,75800.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2810.0,1543.0,60.0,Ventilated discs,9,11966537456.0,91.84845005740527,A
1873,47800.0,4,Locally Built,1598,Multi-Point Injected,Aspirated,2600.0,1470.0,52.0,Drums,6,12122955000.0,62.93832044596295,C
1874,96800.0,8,Locally Built,1499,Direct Injection,Turbo intercooled,2810.0,1544.0,60.0,Discs,5,11989828727.0,68.80849987351378,A
1875,57000.0,4,Parallel Import,2362,Multi-Point Injected,Aspirated,2715.0,1575.0,75.0,Discs,14,14661108000.0,70.23705004389815,B
1877,187000.0,7,Locally Built,1499,Direct Injection,Turbo intercooled,2670.0,1565.0,42.0,Discs,2,11568456000.0,72.05352547606793,A
1878,38800.0,7,Locally Built,1798,Direct Injection,Turbo supercharged intercooled,2712.0,1552.0,70.0,Discs,8,12758982600.0,78.70994401755232,B
1879,55800.0,6,Parallel Import,1984,Direct Injection,Turbo intercooled,2578.0,1533.0,55.0,Discs,13,11294151418.0,111.35975004749942,B
1880,30800.0,6,Locally Built,1561,Multi-Point Injected,Turbocharged,2730.0,1533.0,55.0,Discs,7,14047015248.0,70.30794881581326,D
1881,42800.0,6,Official Import,1390,Direct Injection,Turbo supercharged intercooled,2604.0,1569.0,64.0,Discs,7,13635297702.0,76.98451648912112,B
1882,29800.0,4,Locally Built,2488,Multi-Point Injected,Aspirated,2625.0,1530.0,60.0,Ventilated discs,9,13333251250.0,90.25816861637756,C
1883,21800.0,4,Locally Built,1598,Multi-Point Injected,Aspirated,2600.0,1470.0,52.0,Drums,13,11876982000.0,64.22804012723269,C
1884,29800.0,4,Locally Built,1798,Multi-Point Injected,Aspirated,2600.0,1470.0,52.0,Drums,11,11876982000.0,73.46082089552239,C
1885,19800.0,4,Locally Built,1597,Multi-Point Injected,Aspirated,2465.0,1446.0,40.0,Drums,8,10924300800.0,75.31785516860144,D
1886,33800.0,5,Locally Built,1999,Multi-Point Injected,Aspirated,2640.0,1530.0,55.0,Discs,9,11815713000.0,84.3857634902411,B
1887,45800.0,4,Locally Built,1496,Multi-Point Injected,Aspirated,2500.0,1475.0,36.0,Drums,6,10238104875.0,75.72972575545914,D
1888,38800.0,4,Locally Built,1495,Multi-Point Injected,Aspirated,2750.0,1475.0,42.0,Drums,9,11724993000.0,66.26351003602676,D
1889,738000.0,7,Parallel Import,4497,Direct Injection,Aspirated,2650.0,1671.0,86.0,Ventilated discs,13,10636553187.0,308.24140168721607,S
1890,14800.0,4,Locally Built,989,Multi-Point Injected,Aspirated,2390.0,1300.0,36.0,Drums,12,8067881250.0,56.200479086051224,D
1891,82800.0,4,Locally Built,4009,Multi-Point Injected,Aspirated,2711.0653876272513,1300.0,36.0,Drums,5,12583359973.558815,142.80449603832687,B
1892,114800.0,6,Locally Built,1395,Direct Injection,Turbocharged,2677.0,1589.0,60.0,Discs,4,13801838442.0,77.20020586721564,B
1893,36800.0,5,Locally Built,2953,Direct Injection,Aspirated,2715.0,1470.0,65.0,Drums,11,16781869000.0,40.91812478079576,C
1894,90800.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2810.0,1616.0,67.0,Ventilated discs,8,14698972926.0,75.86377504741486,A
1895,63800.0,8,Parallel Import,2497,Multi-Point Injected,Aspirated,2968.0,1600.0,70.0,Ventilated discs,12,13340172960.0,88.25438027255029,A
